"Url","FinalUrl","Status","ContentType","Title","H1","MetaDescription","Type","MigrationAction","SuggestedTarget","Note","InternalLinkCount","Error"
"https://www.arctic-spas.cz/","https://www.arctic-spas.cz/","200","text/html","Venkovní vířivky Arctic Spas","Nová modelová řada CUSTOM","Venkovní i vnitřní luxusní vířivky ARCTIC SPAS. Prodej kanadských vířivek s nejefektivnějším provozem. Venkovní vířivky pro celoroční použití na terase, zahradě, pod střechou i pod širým nebem. Prodejna Brno.","home","migrate_page","/","Homepage.","113",""
"https://www.arctic-spas.cz/akce-virivky.php","https://www.arctic-spas.cz/akce-virivky.php","200","text/html","Akční nabídky vířivek Arctic Spas","Akční nabídky vířivek","Venkovní i vnitřní luxusní vířivky ARCTIC SPAS. Akční nabídky pro vířivky Arctic Spas","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","82",""
"https://www.arctic-spas.cz/akce-vyhoda.php","https://www.arctic-spas.cz/akce-vyhoda.php","200","text/html","Akční nabídky vířivek","PODZIMNÍ NABÍDKA VÍŘIVEK","Slevy na vystavené vířivky. Akční ceny - výprodej.","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","85",""
"https://www.arctic-spas.cz/akce-vystava.php","https://www.arctic-spas.cz/akce-vystava.php","200","text/html","Akce - vířivky","VÝPRODEJ VÍŘIVEK A KOUPACÍCH SUDŮ","Slevy na vystavené vířivky. Akční ceny - výprodej.","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","105",""
"https://www.arctic-spas.cz/arctic-bazeny.php","https://www.arctic-spas.cz/arctic-bazeny.php","200","text/html","Venkovní swimspa Arctic Spas","Venkovní swimspa Arctic - celoroční bazény","Venkovní i vnitřní luxusní swimspa neboli celoroční bazény ARCTIC. Seznam modelů a jejich půdorysné fotografie pro jednoduchou orientaci.","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","123",""
"https://www.arctic-spas.cz/arctic-swimspa.php","https://www.arctic-spas.cz/arctic-swimspa.php","200","text/html","Luxusní venkovní swimspa Arctic","Venkovní swimspa Arctic","Venkovní i vnitřní luxusní swimspa ARCTIC. Seznam modelů a jejich půdorysné fotografie pro jednoduchou orientaci. Třídění podle parametrů.","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","124",""
"https://www.arctic-spas.cz/arctic-virivky.php","https://www.arctic-spas.cz/arctic-virivky.php","200","text/html","Venkovní vířivky Arctic Spas","Venkovní vířivky Arctic Spas","Venkovní i vnitřní luxusní vířivky ARCTIC SPAS. Seznam modelů a jejich půdorysné fotografie pro jednoduchou orientaci. Třídění podle velikosti.","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","122",""
"https://www.arctic-spas.cz/arctic-virivky-venkovni.php","https://www.arctic-spas.cz/arctic-virivky-venkovni.php","200","text/html","Luxusní venkovní vířivky Arctic Spas","Venkovní vířivky Arctic Spas","Venkovní i vnitřní luxusní vířivky ARCTIC SPAS. Seznam modelů a jejich půdorysné fotografie pro jednoduchou orientaci. Třídění podle velikosti.","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","119",""
"https://www.arctic-spas.cz/barva-skorepiny.php","https://www.arctic-spas.cz/barva-skorepiny.php","200","text/html","Barvy akrylátového povrchu vířivky - Arctic Spas","Barvy akrylátu pro vířivky Arctic Spas","Venkovní vířivky vyrobené v Kanadě určené pro nejdrsnější klima na světě. Barvy a struktura akrylátového povrchu vířivky, výběr.","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","111",""
"https://www.arctic-spas.cz/barva-skorepiny-core.php","https://www.arctic-spas.cz/barva-skorepiny-core.php","200","text/html","Barvy akrylátového povrchu vířivky - Arctic Spas","Barvy akrylátu pro vířivky řady Core","Venkovní vířivky vyrobené v Kanadě určené pro nejdrsnější klima na světě. Barvy a struktura akrylátového povrchu vířivky, výběr.","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","111",""
"https://www.arctic-spas.cz/baspa.php","https://www.arctic-spas.cz/baspa.php","200","text/html","Baspa - prodej vířivek","O nás","O firmě Baspa s.r.o., panu Zhořovi a vůbec o prodejcích vířivek Arctic Spas.","content_page","review_migrate_page","","Obsahova stranka; klasifikovat v migracni mape.","82",""
"https://www.arctic-spas.cz/bazen-athabascan.php","https://www.arctic-spas.cz/bazen-athabascan.php","200","text/html","Swimspa Athabascan - Arctic celoroční bazény","Celoroční bazén Athabascan swimspa","Venkovní swimspa vyrobené v Kanadě určené pro nejdrsnější klima na světě. Model celoročního bazénu Athabascan. Popis, parametry, vybavení.","product_swimspa","migrate_product","","Aktivni swimspa.","184",""
"https://www.arctic-spas.cz/bazen-hudson.php","https://www.arctic-spas.cz/bazen-hudson.php","200","text/html","Swimspa Hudson - Arctic celoroční bazény","Celoroční bazén Hudson swimspa","Venkovní swimspa vyrobené v Kanadě určené pro nejdrsnější klima na světě. Model celoročního bazénu Hudson. Popis, parametry, vybavení.","product_swimspa","migrate_product","","Aktivni swimspa.","184",""
"https://www.arctic-spas.cz/bazen-kingfisher.php","https://www.arctic-spas.cz/bazen-kingfisher.php","200","text/html","Swimspa Kingfisher - Arctic celoroční bazény","Celoroční bazén Kingfisher swimspa","Venkovní swimspa vyrobené v Kanadě určené pro nejdrsnější klima na světě. Model celoročního bazénu Kingfisher. Popis, parametry, vybavení.","product_swimspa","migrate_product","","Aktivni swimspa.","184",""
"https://www.arctic-spas.cz/bazen-ocean.php","https://www.arctic-spas.cz/bazen-ocean.php","200","text/html","Swimspa Arctic Ocean - Arctic celoroční bazény","Celoroční bazén Arctic Ocean swimspa","Venkovní swimspa vyrobené v Kanadě určené pro nejdrsnější klima na světě. Model celoročního bazénu Ocean. Popis, parametry, vybavení.","product_swimspa","migrate_product","","Aktivni swimspa.","201",""
"https://www.arctic-spas.cz/bazen-okanagan.php","https://www.arctic-spas.cz/bazen-okanagan.php","200","text/html","Swimspa Okanagan - Arctic celoroční bazény","Celoroční bazén Okanagan swimspa","Venkovní swimspa vyrobené v Kanadě určené pro nejdrsnější klima na světě. Model celoročního bazénu Okanagan. Popis, parametry, vybavení.","product_swimspa","migrate_product","","Aktivni swimspa.","200",""
